year,parasitism
1952-05-01,0.306844476
1952-06-01,0.307023018
1952-07-01,0.30720156
1952-08-01,0.307380101
1952-09-01,0.307558643
1952-10-01,0.307737185
1952-11-01,0.307915726
1952-12-01,0.308094268
1953-01-01,0.30827281
1953-02-01,0.308451351
1953-03-01,0.308629893
1953-04-01,0.308808435
1953-05-01,0.308986976
1953-06-01,0.309165518
1953-07-01,0.30934406
1953-08-01,0.309522601
1953-09-01,0.309701143
1953-10-01,0.309879685
1953-11-01,0.310058226
1953-12-01,0.310236768
1954-01-01,0.31041531
1954-02-01,0.310593851
1954-03-01,0.310772393
1954-04-01,0.310950935
1954-05-01,0.311129476
1954-06-01,0.311308018
1954-07-01,0.31148656
1954-08-01,0.311665101
1954-09-01,0.311843643
1954-10-01,0.312022185
1954-11-01,0.312200726
1954-12-01,0.312379268
1955-01-01,0.31255781
1955-02-01,0.312736351
1955-03-01,0.312914893
1955-04-01,0.313093435
1955-05-01,0.313271976
1955-06-01,0.313450518
1955-07-01,0.31362906
1955-08-01,0.313807601
1955-09-01,0.313986143
1955-10-01,0.314164685
1955-11-01,0.314343226
1955-12-01,0.314521768
1956-01-01,0.31470031
1956-02-01,0.314878851
1956-03-01,0.315057393
1956-04-01,0.315235935
1956-05-01,0.315414476
1956-06-01,0.315593018
1956-07-01,0.31577156
1956-08-01,0.315950101
1956-09-01,0.316128643
1956-10-01,0.316307185
1956-11-01,0.316485726
1956-12-01,0.316664268
1957-01-01,0.31684281
1957-02-01,0.317021351
1957-03-01,0.317199893
1957-04-01,0.317378435
1957-05-01,0.317556976
1957-06-01,0.317735518
1957-07-01,0.31791406
1957-08-01,0.318092601
1957-09-01,0.318271143
1957-10-01,0.318449685
1957-11-01,0.318628226
1957-12-01,0.318806768
1958-01-01,0.31898531
1958-02-01,0.319163851
1958-03-01,0.319342393
1958-04-01,0.319520935
1958-05-01,0.319699476
1958-06-01,0.319878018
1958-07-01,0.32005656
1958-08-01,0.320235101
1958-09-01,0.320413643
1958-10-01,0.320592185
1958-11-01,0.320770726
1958-12-01,0.320949268
1959-01-01,0.32112781
1959-02-01,0.321306351
1959-03-01,0.321484893
1959-04-01,0.321663435
1959-05-01,0.321841976
1959-06-01,0.322020518
1959-07-01,0.32219906
1959-08-01,0.322377601
1959-09-01,0.322556143
1959-10-01,0.322734685
1959-11-01,0.322913226
1959-12-01,0.323091768
1960-01-01,0.32327031
1960-02-01,0.323448851
1960-03-01,0.323627393
1960-04-01,0.323805935
1960-05-01,0.323984476
1960-06-01,0.324163018
1960-07-01,0.32434156
1960-08-01,0.324520101
1960-09-01,0.324698643
1960-10-01,0.324877185
1960-11-01,0.325055726
1960-12-01,0.325234268
1961-01-01,0.32541281
1961-02-01,0.325591351
1961-03-01,0.325769893
1961-04-01,0.325948435
1961-05-01,0.326126976
1961-06-01,0.326305518
1961-07-01,0.32648406
1961-08-01,0.326662601
1961-09-01,0.326841143
1961-10-01,0.327019685
1961-11-01,0.327198226
1961-12-01,0.327376768
1962-01-01,0.32755531
1962-02-01,0.327733851
1962-03-01,0.327912393
1962-04-01,0.328090935
1962-05-01,0.328269476
1962-06-01,0.328448018
1962-07-01,0.32862656
1962-08-01,0.328805101
1962-09-01,0.328983643
1962-10-01,0.329162185
1962-11-01,0.329340726
1962-12-01,0.329519268
1963-01-01,0.32969781
1963-02-01,0.329876351
1963-03-01,0.330054893
1963-04-01,0.330233435
1963-05-01,0.330411976
1963-06-01,0.330590518
1963-07-01,0.33076906
1963-08-01,0.330947601
1963-09-01,0.331126143
1963-10-01,0.331304685
1963-11-01,0.331483226
1963-12-01,0.331661768
1964-01-01,0.33184031
1964-02-01,0.332018851
1964-03-01,0.332197393
1964-04-01,0.332375935
1964-05-01,0.332554476
1964-06-01,0.332733018
1964-07-01,0.33291156
1964-08-01,0.333090101
1964-09-01,0.333268643
1964-10-01,0.333447185
1964-11-01,0.333625726
1964-12-01,0.333804268
1965-01-01,0.33398281
1965-02-01,0.334161351
1965-03-01,0.334339893
1965-04-01,0.334518435
1965-05-01,0.334696976
1965-06-01,0.334875518
1965-07-01,0.33505406
1965-08-01,0.335232601
1965-09-01,0.335411143
1965-10-01,0.335589685
1965-11-01,0.335768226
1965-12-01,0.335946768
1966-01-01,0.33612531
1966-02-01,0.336303851
1966-03-01,0.336482393
1966-04-01,0.336660935
1966-05-01,0.336839476
1966-06-01,0.337018018
1966-07-01,0.33719656
1966-08-01,0.337375101
1966-09-01,0.337553643
1966-10-01,0.337732185
1966-11-01,0.337910726
1966-12-01,0.338089268
1967-01-01,0.33826781
1967-02-01,0.338446351
1967-03-01,0.338624893
1967-04-01,0.338803435
1967-05-01,0.338981976
1967-06-01,0.339160518
1967-07-01,0.33933906
1967-08-01,0.339517601
1967-09-01,0.339696143
1967-10-01,0.339874685
1967-11-01,0.340053226
1967-12-01,0.340231768
1968-01-01,0.34041031
1968-02-01,0.340588851
1968-03-01,0.340767393
1968-04-01,0.340945935
1968-05-01,0.341124476
1968-06-01,0.341303018
1968-07-01,0.34148156
1968-08-01,0.341660101
1968-09-01,0.341838643
1968-10-01,0.342017185
1968-11-01,0.342195726
1968-12-01,0.342374268
1969-01-01,0.34255281
1969-02-01,0.342731351
1969-03-01,0.342909893
1969-04-01,0.343088435
1969-05-01,0.343266976
1969-06-01,0.343445518
1969-07-01,0.34362406
1969-08-01,0.343802601
1969-09-01,0.343981143
1969-10-01,0.344159685
1969-11-01,0.344338226
1969-12-01,0.344516768
1970-01-01,0.34469531
1970-02-01,0.344873851
1970-03-01,0.345052393
1970-04-01,0.345230935
1970-05-01,0.345409476
1970-06-01,0.345588018
1970-07-01,0.34576656
1970-08-01,0.345945101
1970-09-01,0.346123643
1970-10-01,0.346302185
1970-11-01,0.346480726
1970-12-01,0.346659268
1971-01-01,0.34683781
1971-02-01,0.347016351
1971-03-01,0.347194893
1971-04-01,0.347373435
1971-05-01,0.347551976
1971-06-01,0.347730518
1971-07-01,0.34790906
1971-08-01,0.348087601
1971-09-01,0.348266143
1971-10-01,0.348444685
1971-11-01,0.348623226
1971-12-01,0.348801768
1972-01-01,0.34898031
1972-02-01,0.349158851
1972-03-01,0.349337393
1972-04-01,0.349515935
1972-05-01,0.349694476
1972-06-01,0.349873018
1972-07-01,0.35005156
1972-08-01,0.350230101
1972-09-01,0.350408643
1972-10-01,0.350587185
1972-11-01,0.350765726
1972-12-01,0.350944268
1973-01-01,0.35112281
1973-02-01,0.351301351
1973-03-01,0.351479893
1973-04-01,0.351658435
1973-05-01,0.351836976
1973-06-01,0.352015518
1973-07-01,0.35219406
1973-08-01,0.352372601
1973-09-01,0.352551143
1973-10-01,0.352729685
1973-11-01,0.352908226
1973-12-01,0.353086768
1974-01-01,0.35326531
1974-02-01,0.353443851
1974-03-01,0.353622393
1974-04-01,0.353846185
1974-05-01,0.354101476
1974-06-01,0.354356768
1974-07-01,0.35461206
1974-08-01,0.354867351
1974-09-01,0.355122643
1974-10-01,0.355377935
1974-11-01,0.355633226
1974-12-01,0.355888518
1975-01-01,0.35614381
1975-02-01,0.356399101
1975-03-01,0.356654393
1975-04-01,0.356909685
1975-05-01,0.357164976
1975-06-01,0.357420268
1975-07-01,0.35767556
1975-08-01,0.357930851
1975-09-01,0.358186143
1975-10-01,0.358441435
1975-11-01,0.358696726
1975-12-01,0.358952018
1976-01-01,0.35920731
1976-02-01,0.359462601
1976-03-01,0.359717893
1976-04-01,0.359973185
1976-05-01,0.360228476
1976-06-01,0.360483768
1976-07-01,0.36073906
1976-08-01,0.360994351
1976-09-01,0.361249643
1976-10-01,0.361504935
1976-11-01,0.361760226
1976-12-01,0.362015518
1977-01-01,0.36227081
1977-02-01,0.362526101
1977-03-01,0.362781393
1977-04-01,0.363036685
1977-05-01,0.363291976
1977-06-01,0.363547268
1977-07-01,0.36380256
1977-08-01,0.364057851
1977-09-01,0.364313143
1977-10-01,0.364568435
1977-11-01,0.364823726
1977-12-01,0.365079018
1978-01-01,0.36533431
1978-02-01,0.365589601
1978-03-01,0.365844893
1978-04-01,0.366100185
1978-05-01,0.366355476
1978-06-01,0.366610768
1978-07-01,0.36686606
1978-08-01,0.367121351
1978-09-01,0.367376643
1978-10-01,0.367631935
1978-11-01,0.367887226
1978-12-01,0.368142518
1979-01-01,0.36839781
1979-02-01,0.368653101
1979-03-01,0.368908393
1979-04-01,0.369163685
1979-05-01,0.369418976
1979-06-01,0.369674268
